Name,Borough/County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
La Goulue,Manhattan,1 Michelin star,1 Michelin star,,,,,,,,,,,,,
Gramercy Tavern,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Le Grill de Joël Robuchon,Manhattan,,,,,,,,,,,,,,1 Michelin star,
Gunter Seeger,Manhattan,,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,
Hakkasan,Manhattan,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,,,,,
Heartbreak,Manhattan,,,,,,,1 Michelin star,,,,,,,,
Hirohisa,Manhattan,,,,,,,,,,,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
Ichimura at Brushstroke,Manhattan,,,,,,,,,1 Michelin star,2 Michelin stars,2 Michelin stars,,,,
Ichimura at Uchū,Manhattan,,,,,,,,,,,,,,2 Michelin stars,2 Michelin stars
Insieme,Manhattan,,,,1 Michelin star,1 Michelin star,,,,,,,,,,
Le Jardinier,Manhattan,,,,,,,,,,,,,,,1 Michelin star
Jean-Georges,Manhattan,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,3 Michelin stars,2 Michelin stars,2 Michelin stars,2 Michelin stars
Jeju Noodle Bar,Manhattan,,,,,,,,,,,,,,1 Michelin star,1 Michelin star
Jewel Bako,Manhattan,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star,1 Michelin star
JoJo,Manhattan,1 Michelin star,,1 Michelin star,1 Michelin star,,,,,,,,,,,
