business_name,rating,review_count,price_range,category
Chicken Meets Oyster,4.5,13,,['Pop-Up Restaurants']
Thai Taste Kitchen,4.5,133,$$,['Thai']
Grand Bakery,4.0,15,,"['Bakeries', 'Kosher']"
Summer Kitchen +bakeshop,4.0,461,$$,"['American (New)', 'Local Flavor', 'Salad']"
Kendejah Restaurant,4.5,345,$$,['African']
Cam Huong Cafe,4.0,443,$,"['Vietnamese', 'Delis', 'Sandwiches']"
La Grana Fish,4.5,86,$,"['Seafood', 'Tacos', 'Food Trucks']"
Pattys & Buns Burgers,3.5,184,$$,['Burgers']
Daryoush Persian Cuisine,4.5,132,$$,['Persian/Iranian']
Oak Knoll Meat & Deli,4.5,56,$,"['Delis', 'Grocery']"
Home of Chicken and Waffles,3.5,3214,$$,"['Soul Food', 'Waffles', 'Bars']"
Augie’s Montreal Deli,4.5,474,$$,"['Sandwiches', 'Delis', 'Poutineries']"
Paradiso Restaurant,4.0,1843,$$,"['Mediterranean', 'Italian', 'Seafood']"
Clove and Hoof,4.0,756,$$,"['American (Traditional)', 'Butcher', 'Sandwiches']"
Burma Superstar,4.0,1939,$$,['Burmese']
Taqueria Sinaloa,4.5,1026,$,"['Food Trucks', 'Tacos']"
Rio California,4.5,440,$,"['Brazilian', 'American (New)']"
Boriqua Kitchen,4.5,42,,"['Food Trucks', 'Puerto Rican']"
The Lunch Box,4.5,462,$,"['Sandwiches', 'American (New)', 'Salad']"
Miss Ollie’s,4.0,679,$$,['Caribbean']
Ruby Q Smoke Fusion,4.5,39,,"['Barbeque', 'Smokehouse', 'Sandwiches']"
Souley Vegan,4.0,2645,$$,"['Vegan', 'Salad', 'Burgers']"
American Oak,4.0,629,$$,"['American (New)', 'Whiskey Bars', 'Steakhouses']"
Habibi’s Kitchen,4.5,15,,"['Afghan', 'Halal', 'Mediterranean']"
The Italian Homemade Company,4.0,390,$$,"['Italian', 'Gelato', 'Delis']"
Joshua’s Gulfport Seafood,4.5,34,$,"['Seafood', 'Southern', 'Soul Food']"
MIXT,3.5,138,$$,"['Salad', 'American (New)', 'Vegetarian']"
Aguachiles El Tamarindo,4.0,205,$$,"['Food Trucks', 'Seafood', 'Mexican']"
Da Nang Quan,4.0,214,$$,['Vietnamese']
Dosirak Shop,4.5,109,$$,"['Japanese', 'Korean']"
The Well Oakland,4.0,225,$$,"['Cafes', 'Breakfast & Brunch', 'Gluten-Free']"
Southern Cafe,4.0,544,$$,"['Southern', 'Salad', 'Chicken Wings']"
The Butchers Son,4.5,1326,$$,"['Vegan', 'Sandwiches', 'American (Traditional)']"
iLava Hawaiian Barbecue,4.0,182,$,"['Barbeque', 'Hawaiian']"
Pucquio,4.0,265,$$$,['Peruvian']
Tasty Pot,3.5,559,$$,"['Taiwanese', 'Bubble Tea', 'Hot Pot']"
Cafe Umami,4.5,202,$$,"['Breakfast & Brunch', 'Asian Fusion', 'Cafes']"
Masala Cuisine,4.5,441,$,['Indian']
Degrees Plato,4.0,184,$$,"['Tacos', 'Beer Bar']"
Xingones,4.5,90,$,"['Tacos', 'Chicken Wings']"
Two Local Girls,4.5,58,$,"['Breakfast & Brunch', 'Sandwiches', 'American (New)']"
Doña,3.5,118,$$,['Mexican']
Lao Taé,4.0,120,$$,"['Laotian', 'Thai', 'Cocktail Bars']"
Champa Garden,4.0,2022,$$,"['Thai', 'Laotian']"
Genny’s BBQ,4.0,294,$$,"['Barbeque', 'Seafood']"
Millennium,4.0,739,$$$,"['Vegan', 'Vegetarian', 'Wine Bars']"
Commis,4.5,1020,$$$$,['American (New)']
In The Wood,4.0,145,$$,"['Gastropubs', 'American (New)']"
Vien Huong Restaurant,4.0,868,$,"['Chinese', 'Vietnamese', 'Noodles']"
RnR Sushi & Bowls,4.5,425,$$,"['Sushi Bars', 'Japanese', 'Salad']"
Mien Tay Restaurant,4.0,103,$,['Vietnamese']
Shinmai,4.0,830,$$,"['Izakaya', 'Cocktail Bars', 'Ramen']"
Molcajete Cocina Mexicana,4.0,498,$$,['Mexican']
Seabreeze On The Dock,4.0,70,,"['Seafood', 'Salad', 'Sandwiches']"
Hashtag Poki,4.5,343,$$,"['Poke', 'Hawaiian', 'Asian Fusion']"
Maya Halal Taqueria,4.5,236,$$,"['Halal', 'Mexican']"
Wing Wah Pho Ga,4.0,127,$,"['Vietnamese', 'Noodles']"
SOCIAL BIRD,4.5,128,$$,"['Gastropubs', 'American (New)', 'Beer', 'Wine & Spirits']"
Holy Basil Pho,4.0,149,$$,"['Vietnamese', 'Noodles', 'Cocktail Bars']"
Imperial Soup 皇帝湯,4.5,138,$,"['Chinese', 'Soup']"
Scolari’s,4.0,1078,$$,"['Burgers', 'Sandwiches', 'Salad']"
Cafe Romanat,4.5,354,$$,['Ethiopian']
Blue Nile Ethiopian,4.5,106,$$,"['Ethiopian', 'Vegetarian']"
The Cook and Her Farmer,4.0,329,$$,"['Seafood', 'Wine Bars']"
Tin & Pig - Kang Tong Degi,4.0,372,$$,"['Korean', 'Gastropubs', 'Comfort Food']"
The Fat Lady,4.0,1007,$$,"['American (New)', 'Bars']"
Ayubowan,4.5,16,,"['Sri Lankan', 'Food Trucks']"
dosa By DOSA,4.0,403,$$,['Indian']
Eureka!,4.0,1713,$$,['American (Traditional)']
Mi Zacatecas,4.5,113,$,['Mexican']
The Lede,4.0,26,,"['Bars', 'American (Traditional)']"
El Paisa,4.5,258,$$,['Mexican']
Canasta Kitchen,4.5,119,,"['Tacos', 'Latin American']"
The Mana’eesh Lady,5.0,1,,"['Pop-Up Restaurants', 'Middle Eastern']"
Urban Ka-re House,4.5,72,,"['Japanese Curry', 'Noodles']"
Tipunan,4.5,24,,['Filipino']
Organic Greens Salad & more - Elmwood,4.0,61,$$,"['Salad', 'Juice Bars & Smoothies', 'Sandwiches']"
Moi Eat,5.0,4,,['Vietnamese']
Joe’s Pho,4.0,735,$$,"['Vietnamese', 'Bubble Tea', 'Sandwiches']"
The Kon-Tiki,4.0,175,$$,"['Tiki Bars', 'American (Traditional)']"
Marugame Udon,3.5,435,$$,"['Japanese', 'Noodles']"
Noodles Pho Me,4.5,798,$$,"['Laotian', 'Noodles', 'Soup']"
Philly’s Best,4.0,49,,"['Cheesesteaks', 'Sandwiches']"
Orbit Coffee & Kitchen,4.0,75,,['Cafes']
East Ocean Seafood Restaurant,4.0,1557,$$,"['Dim Sum', 'Seafood']"
Tay Ho Oakland Restaurant & Bar,4.0,671,$$,"['Vietnamese', 'Cocktail Bars', 'Noodles']"
Kitava - at Buck Wild,5.0,2,,"['American (New)', 'Breweries', 'Gluten-Free']"
Yimm,4.5,155,$$,['Thai']
Abigail’s Moroccan Cuisine,4.5,384,$$,"['Moroccan', 'Salad', 'Soup']"
Tacos Oscar,4.5,104,,['Tacos']
Oasis Kitchen,4.0,288,$$,"['Falafel', 'Middle Eastern']"
EM Deli & Catering,4.5,100,$,"['Delis', 'Korean']"
Swan’s Market,4.5,107,$$,"['Grocery', 'Food Court']"
Pho King,4.5,42,$$,['Vietnamese']
Fentons Creamery,4.0,4634,$$,"['Ice Cream & Frozen Yogurt', 'American (Traditional)', 'Desserts']"
Hegenburger,4.5,308,$,"['Burgers', 'Hot Dogs', 'American (Traditional)']"
Wild Ginger,4.5,352,$$,"['Chinese', 'Noodles', 'Burgers']"
Townhouse,4.0,1139,$$,"['American (New)', 'Breakfast & Brunch', 'Barbeque']"
The Park Street Tavern,4.5,170,$$,"['Greek', 'Italian', 'Steakhouses']"
Bardo Lounge & Supper Club,4.5,122,$$,"['Lounges', 'American (New)', 'Cocktail Bars']"
Trabocco Kitchen & Cocktails,4.0,1317,$$,"['Italian', 'Cocktail Bars']"
Sidewalk Street Food,4.0,40,$$,['Vietnamese']
Roli Roti Gourmet Rotisserie,4.0,89,$$,"['Specialty Food', 'Chicken Shop', 'Food Trucks']"
Flipnsoul,3.5,196,$$,"['Soul Food', 'Filipino']"
