business_name,rating,review_count,price_range,category
Mini Mott,4.0,202,$$,"['Burgers', 'Chicken Wings']"
Ramen Wasabi,4.0,1875,$$,"['Ramen', 'Tapas/Small Plates', 'Izakaya']"
Bill Kim Asian Comfort Food,4.5,6,,"['Korean', 'Asian Fusion']"
Eleven | Eleven,4.0,104,$$,"['American (New)', 'Wine Bars', 'Cocktail Bars']"
Moti Cafe,4.5,138,$$,"['Indian', 'Halal']"
Park & Field,4.0,568,$$,"['American (New)', 'Sports Bars', 'Tapas/Small Plates']"
Takito Kitchen,4.0,568,$$,"['Mexican', 'Latin American', 'Bars']"
Bulerias Tapas Bar,4.5,38,,"['Tapas Bars', 'Tapas/Small Plates', 'Spanish']"
Hopleaf,4.0,2086,$$,['Gastropubs']
D Cuisine,4.5,171,$$,"['Dim Sum', 'Cantonese', 'Seafood']"
Big Boss Spicy Fried Chicken,4.0,182,,"['Chicken Shop', 'Sandwiches', 'Chicken Wings']"
Irazú Costa Rican Restaurant & Catering,4.0,2165,$$,"['Latin American', 'Venues & Event Spaces', 'Empanadas']"
Qiao Lin Hotpot,5.0,57,,"['Hot Pot', 'Chinese']"
The Pasta Bowl,4.0,944,$$,['Italian']
Folklore Argentine Grill,4.0,712,$$,"['Argentine', 'Steakhouses', 'Comfort Food']"
Chicken & Farm Shop,4.0,375,$$,"['American (Traditional)', 'Southern', 'Chicken Shop']"
Gather,4.5,854,$$,"['Wine Bars', 'American (New)']"
5 Rabanitos Restaurante and Taqueria,4.0,483,$$,['Mexican']
Blue Door Kitchen & Garden,3.5,426,$$,"['American (Traditional)', 'Comfort Food', 'Venues & Event Spaces']"
Grandee Cuisine,4.5,290,$$,"['Dim Sum', 'Seafood', 'Cantonese']"
Mr Dumpling,4.0,44,,['Chinese']
Piccolo Sogno,4.0,1245,$$$,['Italian']
The Jibarito Stop,4.5,292,$,['Puerto Rican']
Lawrence Fish Market,4.5,921,$$,"['Sushi Bars', 'Seafood']"
El Asadero Colombiano,4.5,113,$$,['Colombian']
The Smith,4.0,218,$$,['American (New)']
Joe Willie’s Seafood and Bar,4.0,17,,['Seafood']
Xoco,4.0,3617,$$,"['Mexican', 'Breakfast & Brunch', 'Sandwiches']"
"Table, Donkey and Stick",4.0,436,$$,"['Modern European', 'Wine Bars', 'Cocktail Bars']"
Philly Bros,4.5,246,$$,"['Halal', 'Cheesesteaks', 'Chicken Wings']"
DMK Burger Bar,4.0,1964,$$,['Burgers']
Bari Subs and Italian Foods,4.5,758,$,"['Grocery', 'Delis', 'Sandwiches']"
Jibaritos y Más,4.0,359,$,['Puerto Rican']
Kizuki Ramen & Izakaya,4.0,687,$$,"['Ramen', 'Izakaya']"
Flat Top Grill,3.5,626,$$,['Asian Fusion']
Wyler Road,4.0,251,$$,"['Sandwiches', 'Beer', 'Wine & Spirits', 'Cafes']"
Manny’s Cafeteria and Delicatessen,4.0,1017,$$,"['Delis', 'Breakfast & Brunch', 'Sandwiches']"
MingHin Cuisine,4.5,59,$$,"['Dim Sum', 'Cantonese', 'Asian Fusion']"
Kim & Carlo’s Hot Dog Stand,4.5,274,$,"['Hot Dogs', 'Food Stands']"
Oriole,4.5,307,$$$$,['American (New)']
Mima’s Taste of Cuba,4.0,385,$,"['Cuban', 'Latin American', 'Caribbean']"
Luella’s Southern Kitchen,4.0,741,$$,"['Southern', 'Breakfast & Brunch', 'Chicken Shop']"
Sir Chicken,5.0,2,,"['Food Delivery Services', 'Chicken Shop']"
Burger Bar Chicago - South Loop,4.0,648,$$,"['Burgers', 'Beer Bar']"
The Budlong Hot Chicken,4.0,289,$$,"['Southern', 'Chicken Shop', 'American (Traditional)']"
Corridor Brewery & Provisions,4.0,417,$$,"['American (New)', 'Breweries']"
AVVIO,4.5,28,,"['Italian', 'Salad', 'Soup']"
Wok N’ Bao,4.5,19,,['Chinese']
Farm Bar Lakeview,4.0,291,$$,"['Bars', 'American (New)']"
Robert Et Fils,5.0,6,,['French']
Old Irving Brewing,4.0,494,$$,"['Breweries', 'American (New)', 'Burgers']"
