business_name,rating,review_count,price_category
125. La Pupusa Urban Eatery,4.5 star rating,292,$$Salvadoran
126. Fat Sal’s Deli - Hollywood,4 star rating,2179,"$$Sandwiches, Burgers"
127. Annie’s Soul Delicious,4.5 star rating,203,"$$Soul Food, Southern"
128. Stout Burgers & Beers,4 star rating,2116,"$$Burgers, Gastropubs, American (Traditional)"
129. Osteria Mozza,4 star rating,2816,"$$$$Italian, Wine Bars"
130. Tatsu Ramen,4 star rating,3617,$$Ramen
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Shopping Centers, Food Court"
201. Wood Spoon,4 star rating,1407,$$Brazilian
202. Majordomo,4 star rating,999,"$$$Asian Fusion, Bars, Venues & Event Spaces"
203. Zankou Chicken - Hollywood,3.5 star rating,1070,$Mediterranean
204. Sushi Gen,4.5 star rating,3795,"$$$Sushi Bars, Japanese"
205. Emporium Thai,4 star rating,2336,"$$Thai, Noodles, Beer Gardens"
206. Maccheroni Republic,4.5 star rating,3014,"$$Italian, Wine Bars"
207. Crab House,4 star rating,214,"$$Korean, Seafood, Live/Raw Food"
208. Spitz - Little Tokyo,4 star rating,1640,"$$Mediterranean, Beer Bar"
209. Mama Shelter Rooftop Bar,3.5 star rating,509,"$$American (New), Cocktail Bars, Wine Bars"
210. Momed Atwater Village,4 star rating,616,"$$Mediterranean, Cocktail Bars"
Westfield Century City,3.5 star rating,1124,"$$$Department Stores, Food Court, Shopping Centers"
191. Berlins,4.5 star rating,1001,"$Bubble Tea, German, Sandwiches"
192. The Crack Shack,4 star rating,414,"$$Chicken Shop, Sandwiches"
193. Hoy-Ka Thai Restaurant,4.5 star rating,1886,"$$Thai, Noodles"
194. Poppy + Rose,4 star rating,2428,"$$Breakfast & Brunch, American (New), Comfort Food"
195. Spitz - Los Feliz,4 star rating,772,"$$Bars, Sandwiches, Mediterranean"
196. La Fonda Antioquena,4 star rating,434,$$Colombian
197. Fish Grill,4 star rating,290,"$$Seafood, Kosher"
198. Ohana Superette,4 star rating,184,"$$Hawaiian, Seafood"
199. Dino’s Chicken and Burgers,4 star rating,2048,"$Burgers, Mexican"
200. Banh Oui,4.5 star rating,217,"$$Sandwiches, Burgers"
Westfield Century City,3.5 star rating,1124,"$$$Food Court, Department Stores, Shopping Centers"
41. My Two Cents,4.5 star rating,700,"$$Southern, Seafood, Soul Food"
42. Versailles,4 star rating,1488,"$$Cuban, Sandwiches, Caribbean"
43. Simpang Asia,4 star rating,1609,"$$Indonesian, Malaysian, Halal"
44. Pampas Grill,4 star rating,1227,$$Brazilian
45. Ha Sun Saeng - Master Ha,4.5 star rating,366,"$$Korean, Live/Raw Food, Seafood"
46. Flaco.,5 star rating,24,Tacos
47. Cleo Hollywood,4 star rating,1752,"$$$Mediterranean, Venues & Event Spaces, Tapas/Small Plates"
48. Crispy School,5 star rating,341,"$$Burgers, American (New)"
49. Bestia,4.5 star rating,6214,"$$$Italian, Cocktail Bars, Pizza"
50. Lobster & Beer,4 star rating,796,"$$Seafood, Beer Bar, Sports Bars"
Westfield Century City,3.5 star rating,1124,"$$$Shopping Centers, Department Stores, Food Court"
91. Mike’s Deli,4.5 star rating,870,"$$Delis, Salad, Sandwiches"
92. Roscoe’s House of Chicken & Waffles,4 star rating,3980,"$$Soul Food, Waffles, Chicken Wings"
93. Chadolpoong,4.5 star rating,318,"$$Korean, Barbeque, Soup"
94. Eggslut,4 star rating,5811,"$Breakfast & Brunch, Sandwiches"
95. Sidewalk Grill,4.5 star rating,1008,"$$Mediterranean, Salad, Wraps"
96. Sonoratown,4.5 star rating,1203,$Mexican
97. Thanks Pizza,4.5 star rating,20,Pizza
98. Egg Bomb,4.5 star rating,20,Korean
99. Lady Byrd Cafe,4 star rating,328,"American (New), Cafes"
100. Home Restaurant - Los Feliz,4 star rating,3003,"$$Breakfast & Brunch, Coffee & Tea, American (New)"
