business_name,rating,review_count,price_range,category
Aurora,4.0,643,$$,"['Italian', 'Comfort Food']"
Root & Bone,4.0,1621,$$,"['Southern', 'Comfort Food', 'Desserts']"
Agora Turkish Restaurant,4.5,579,$$,"['Turkish', 'Mediterranean', 'Halal']"
Salt + Charcoal,4.0,524,$$,"['Japanese', 'Asian Fusion', 'Steakhouses']"
MR BAO,5.0,60,,"['Shanghainese', 'Asian Fusion']"
Yaso,4.0,63,$$,['Shanghainese']
Coppelia,4.0,1352,$$,"['Cuban', 'Latin American', 'Bars']"
Beauty & Essex,4.0,3504,$$$,['American (New)']
The Highwater,4.0,386,$$,"['American (New)', 'Hawaiian', 'Tiki Bars']"
El Jeffe,4.5,258,$$,['New Mexican Cuisine']
LOVE Korean BBQ,4.0,101,$$$,"['Korean', 'Barbeque']"
Kaoru,4.5,365,$$,['Japanese']
Emily,4.0,799,$$$,['American (Traditional)']
Sweet Chick,4.0,1662,$$,"['Southern', 'Breakfast & Brunch', 'American (Traditional)']"
Pupusas Ridgewood,4.5,17,,['Salvadoran']
Raku,4.5,1098,$$,"['Japanese', 'Noodles']"
Olmsted,4.0,398,$$$,['American (New)']
La Pecora Bianca,4.0,614,$$,['Italian']
TAO Uptown,3.5,2600,$$$,['Asian Fusion']
Maison Pickle,4.0,1020,$$,"['Cocktail Bars', 'Comfort Food', 'Sandwiches']"
Café China,4.0,1646,$$,['Szechuan']
Khiladi NYC,4.5,104,,['Indian']
Tsurutontan Udon Noodle Brasserie,4.0,1878,$$,"['Japanese', 'Noodles', 'Soup']"
Shanghai 21,4.0,1678,$$,['Shanghainese']
Los Tacos No.1,4.5,3040,$,['Tacos']
BCD Tofu House,4.0,2043,$$,['Korean']
Hot N Juicy Crawfish,4.5,519,$$,"['Cajun/Creole', 'Seafood']"
L’Angeletto,4.5,34,,['Italian']
The Headless Widow,4.5,50,,"['Gastropubs', 'Cocktail Bars']"
Petisco Brazuca,4.5,54,$$,['Brazilian']
Frangos Peri Peri,4.5,68,$$,"['Portuguese', 'Venues & Event Spaces']"
Fan Fried Rice Bar,4.5,82,$,['Taiwanese']
Fish Cheeks,4.5,690,$$,"['Seafood', 'Thai', 'Live/Raw Food']"
Yia Yia’s Taverna,5.0,185,,['Greek']
Kuun,4.5,40,,['Korean']
Claw Daddy’s,4.0,1711,$$,"['Cajun/Creole', 'Seafood']"
Taboonette,4.5,860,$$,"['Mediterranean', 'Middle Eastern', 'American (New)']"
Dim Sum Palace,4.0,1274,$$,"['Dim Sum', 'Cantonese']"
Benemon,4.5,570,$$,"['Japanese', 'Comfort Food', 'Tapas/Small Plates']"
Barn Joo 35,4.5,2027,$$,"['Korean', 'Gastropubs', 'Tapas/Small Plates']"
Lhasa Fast Food,4.5,328,$,['Himalayan/Nepalese']
Buttermilk Channel,4.0,1892,$$,"['American (New)', 'Breakfast & Brunch']"
Santiago’s Beer Garden,4.5,290,$$,"['Dominican', 'Beer Gardens', 'Comfort Food']"
Wild Ink,4.0,144,$$$,['Asian Fusion']
Oxalis,4.5,131,$$$,"['French', 'American (New)']"
Ravagh Persian Grill,4.0,320,$$,"['Persian/Iranian', 'Mediterranean']"
Marlow & Sons,4.0,531,$$$,['American (New)']
Manousheh Bleecker,4.5,447,$,"['Lebanese', 'Halal', 'Sandwiches']"
The Little Owl,4.0,1283,$$$,"['Breakfast & Brunch', 'Mediterranean']"
Pig and Khao,4.0,1656,$$,"['Filipino', 'Thai', 'Asian Fusion']"
Ruby’s Cafe,5.0,101,$$,"['Australian', 'Bars', 'Breakfast & Brunch']"
Noodle Village,4.0,1118,$,"['Chinese', 'Noodles']"
Simply Greek,5.0,5,,['Mediterranean']
Rubirosa,4.5,2285,$$,"['Italian', 'Pizza']"
