business_name,rating,review_count,price_range,category
Joy,4.5,868,$$,"['Taiwanese', 'Chinese', 'Coffee & Tea']"
Father’s Office,3.5,6038,$$,"['American (New)', 'Burgers', 'Gastropubs']"
Yang Chow,4.0,2651,$$,"['Chinese', 'Seafood', 'Noodles']"
M Grill,4.5,2125,$$$,"['Brazilian', 'Steakhouses', 'Wine Bars']"
The Burrow,5.0,280,$$,"['Sandwiches', 'Cocktail Bars', 'Gastropubs']"
Mendocino Farms,4.5,1139,$$,"['Sandwiches', 'Salad']"
Dune,4.5,766,$$,"['Falafel', 'Salad', 'Sandwiches']"
Boo’s Philly Cheesesteaks - Silverlake,4.5,1185,$,"['Cheesesteaks', 'Sandwiches', 'American (New)']"
Yard House,3.5,2680,$$,"['Bars', 'Vegetarian', 'American (New)']"
Cafe Gratitude,4.0,2115,$$,"['Vegan', 'Vegetarian']"
La Pupusa Urban Eatery,4.5,292,$$,['Salvadoran']
Fat Sal’s Deli - Hollywood,4.0,2179,$$,"['Sandwiches', 'Burgers']"
Annie’s Soul Delicious,4.5,203,$$,"['Soul Food', 'Southern']"
Stout Burgers & Beers,4.0,2116,$$,"['Burgers', 'Gastropubs', 'American (Traditional)']"
Osteria Mozza,4.0,2816,$$$$,"['Italian', 'Wine Bars']"
Tatsu Ramen,4.0,3617,$$,['Ramen']
Ruen Pair,4.0,1791,$$,['Thai']
Cafe Beaujolais,4.5,1422,$$,['French']
Seoul Pho,4.5,123,$$,['Vietnamese']
Hotville Chicken,4.0,250,$$,['Chicken Shop']
Carney’s Sunset Strip,4.0,796,$,"['Burgers', 'Hot Dogs', 'Sandwiches']"
Faith & Flower,4.0,2524,$$$,"['American (New)', 'Cocktail Bars']"
A Food Affair,4.5,1320,$$,['French']
Ta-eem Grill,4.5,1125,$$,"['Mediterranean', 'Kosher']"
The Seafood Xperience,4.0,94,$$,['Seafood']
Dollar Hits,4.0,335,$,['Filipino']
Crossroads,4.0,2224,$$$,"['Mediterranean', 'Breakfast & Brunch']"
Openaire,4.0,692,$$,"['American (New)', 'Breakfast & Brunch']"
India’s Restaurant,4.5,2878,$$,"['Indian', 'Halal', 'Seafood']"
CAVA,4.0,219,$$,"['Mediterranean', 'Salad']"
Jopok Topokki,4.5,757,$$,['Korean']
MDK Noodles,4.0,1263,$$,"['Korean', 'Noodles', 'Soup']"
Best Fish Taco In Ensenada,4.0,2198,$,['Mexican']
LA Prime,4.0,941,$$$$,['Steakhouses']
LA Brisket,4.5,132,$$,"['Barbeque', 'Sandwiches']"
Sanamluang Cafe,4.0,1547,$,['Thai']
Marugame Udon,4.0,185,$$,"['Japanese', 'Noodles']"
Granny’s Kitchen,4.0,356,$$,"['Soul Food', 'Southern']"
Quarters Korean BBQ,4.0,2807,$$,"['Korean', 'Barbeque', 'Tapas Bars']"
Burgers Never Say Die,4.0,643,$$,['Burgers']
Three Borders Brunch & Grill,5.0,353,$$,"['Breakfast & Brunch', 'American (New)', 'Latin American']"
Caveman Kitchen,4.0,481,$$,"['Latin American', 'Burgers', 'Peruvian']"
Dulan’s On Crenshaw,4.0,660,$$,['Soul Food']
Alta West Adams,4.0,345,$$,"['Soul Food', 'Venues & Event Spaces']"
Ronnie’s Kickin,4.5,50,,"['Sandwiches', 'Comfort Food']"
The Kimbap,4.5,586,$,['Korean']
Bronzed Aussie,4.5,624,$,"['Australian', 'Comfort Food', 'Food Delivery Services']"
Kismet,4.0,474,$$,"['Mediterranean', 'American (New)', 'Middle Eastern']"
The Wellesbourne,4.0,970,$$$,"['Lounges', 'Cocktail Bars', 'Tapas/Small Plates']"
Infinitea Fresh Kosher Grill,5.0,2,,"['Falafel', 'Kebab']"
Lao Tao,4.0,520,$$,"['Chinese', 'Taiwanese']"
Panini Kabob Grill - Downtown LA,4.0,1498,$$,"['Mediterranean', 'Middle Eastern', 'Kebab']"
Taste of Tehran,4.5,945,$$,"['Persian/Iranian', 'Middle Eastern', 'Halal']"
KazuNori: The Original Hand Roll Bar,4.0,116,$$,"['Sushi Bars', 'Japanese']"
Milpa Grille,5.0,128,$,['Latin American']
Petit Trois,4.0,865,$$$,['French']
Raffi’s Place,4.5,4714,$$,"['Middle Eastern', 'Persian/Iranian', 'Armenian']"
RiceBox,4.5,232,$$,"['Barbeque', 'Cantonese']"
Orleans & York Deli,4.0,352,$$,['Delis']
Tennessee Hot Chicken THC,5.0,354,$$,"['Food Stands', 'Sandwiches', 'Chicken Shop']"
The Park’s Finest,4.0,2087,$$,"['Barbeque', 'Filipino', 'American (New)']"
Chef Kang Sul Box,5.0,157,$$,"['Korean', 'Gastropubs', 'Chicken Wings']"
Bowery Bungalow,4.5,477,$$,"['Lebanese', 'Mediterranean']"
Michin Dak,4.5,413,$$,"['Chicken Wings', 'Chicken Shop', 'Asian Fusion']"
The Carving Board,4.5,697,$$,['Sandwiches']
Catch 56,4.5,525,$$,"['Seafood', 'British', 'Fish & Chips']"
Wirtshaus,4.0,886,$$,"['German', 'Pubs', 'Beer Gardens']"
Roscoe’s House of Chicken & Waffles,4.0,2857,$$,"['Soul Food', 'Waffles', 'Chicken Shop']"
Providence,4.5,2680,$$$$,"['American (New)', 'Seafood']"
Urth Caffé- Downtown LA,4.0,5345,$$,"['Coffee & Tea', 'Desserts', 'Sandwiches']"
Little Dom’s,3.5,1571,$$,['American (New)']
Guisados DTLA,4.5,1851,$,['Mexican']
Chinchikurin - Little Tokyo,4.0,606,$$,['Japanese']
Kali Restaurant,4.5,580,$$$,['American (New)']
Chinchikurin - Sawtelle,4.5,558,$$,['Japanese']
Hoy’s Wok Chinese Restaurant,4.0,669,$$,['Chinese']
Berlins,4.5,1001,$,"['Bubble Tea', 'German', 'Sandwiches']"
The Crack Shack,4.0,414,$$,"['Chicken Shop', 'Sandwiches']"
Hoy-Ka Thai Restaurant,4.5,1886,$$,"['Thai', 'Noodles']"
Poppy + Rose,4.0,2428,$$,"['Breakfast & Brunch', 'American (New)', 'Comfort Food']"
Spitz - Los Feliz,4.0,772,$$,"['Bars', 'Sandwiches', 'Mediterranean']"
La Fonda Antioquena,4.0,434,$$,['Colombian']
Fish Grill,4.0,290,$$,"['Seafood', 'Kosher']"
Ohana Superette,4.0,184,$$,"['Hawaiian', 'Seafood']"
Dino’s Chicken and Burgers,4.0,2048,$,"['Burgers', 'Mexican']"
Banh Oui,4.5,217,$$,"['Sandwiches', 'Burgers']"
Wood Spoon,4.0,1407,$$,['Brazilian']
Majordomo,4.0,999,$$$,"['Asian Fusion', 'Bars', 'Venues & Event Spaces']"
Zankou Chicken - Hollywood,3.5,1070,$,['Mediterranean']
Sushi Gen,4.5,3795,$$$,"['Sushi Bars', 'Japanese']"
Emporium Thai,4.0,2336,$$,"['Thai', 'Noodles', 'Beer Gardens']"
Maccheroni Republic,4.5,3014,$$,"['Italian', 'Wine Bars']"
Crab House,4.0,214,$$,"['Korean', 'Seafood', 'Live/Raw Food']"
Spitz - Little Tokyo,4.0,1640,$$,"['Mediterranean', 'Beer Bar']"
Mama Shelter Rooftop Bar,3.5,509,$$,"['American (New)', 'Cocktail Bars', 'Wine Bars']"
Momed Atwater Village,4.0,616,$$,"['Mediterranean', 'Cocktail Bars']"
Mr Fries Man,4.5,5,,['Barbeque']
Cielito Lindo,4.0,875,$,['Mexican']
Gus’s World Famous Fried Chicken,4.0,1464,$$,"['Southern', 'Chicken Shop', 'Comfort Food']"
Hae Ha Heng Thai Bistro,4.5,1244,$$,['Thai']
The Empanada Factory,4.0,318,$,"['Argentine', 'Latin American', 'Empanadas']"
Pizzeria Mozza,4.0,4275,$$,['Pizza']
El Zarape,4.5,656,$,['Mexican']
Comfort LA,4.0,950,$$,"['Comfort Food', 'Chicken Wings', 'Soul Food']"
The Kluckin Chicken,4.5,218,$$,['Chicken Shop']
Corn Man,4.5,948,$,"['Food Stands', 'Mexican']"
Mercado Los Angeles,4.0,1179,$$,"['Mexican', 'Cocktail Bars']"
Hinoki & The Bird,3.5,1421,$$$,['American (New)']
Singapore’s Banana Leaf,3.5,697,$$,"['Singaporean', 'Indonesian', 'Malaysian']"
The Bun Bunn,4.5,40,$$,['Chicken Shop']
Soom Soom Fresh Mediterranean - Los Angeles,4.0,434,$$,"['Mediterranean', 'Gluten-Free']"
TGI Korean BBQ,4.5,539,$$,"['Korean', 'Barbeque', 'Asian Fusion']"
Fish Bone Seafood,5.0,2,,"['Seafood', 'Fish & Chips', 'Southern']"
Powerplant Superfood Cafe,4.5,632,$$,"['Gluten-Free', 'Vegan', 'Comfort Food']"
Little Kingston Jamaican Restaurant,3.5,369,$$,['Caribbean']
Pho Saigon Pearl,4.0,774,$$,"['Vietnamese', 'Noodles', 'Bubble Tea']"
Manuela,4.0,1017,$$,"['American (New)', 'Breakfast & Brunch', 'Bars']"
Supremo,4.5,192,$$,['Italian']
Son of a Gun,4.0,1680,$$$,['Seafood']
Sonoritas Prime Tacos,4.0,1196,$$,['Mexican']
Open Sesame,4.0,763,$$,"['Mediterranean', 'Lebanese', 'Halal']"
My Dung Sandwich Shop,4.5,134,$,"['Sandwiches', 'Vietnamese']"
Genwa Korean BBQ,4.5,2826,$$,"['Korean', 'Barbeque', 'Seafood']"
Hasiba,4.5,217,$$,"['Middle Eastern', 'Vegetarian', 'Kosher']"
Eataly Los Angeles,3.5,2141,$$,"['Specialty Food', 'Italian', 'Food Court']"
Animal,4.0,3364,$$$,"['American (New)', 'Breakfast & Brunch', 'Wine Bars']"
