business_name,rating,review_count,price_range,category
Tail Up Goat,4.5,677,$$$,"['Cocktail Bars', 'American (New)', 'Italian']"
FishScale,4.5,114,$$,"['Burgers', 'Seafood', 'Fish & Chips']"
Crab Boss,4.0,45,,"['Seafood', 'Cajun/Creole']"
Primrose,4.0,142,$$,"['French', 'Bars', 'Comfort Food']"
Fogo de Chão Brazilian Steakhouse,4.0,1857,$$$,"['Brazilian', 'Steakhouses']"
Lasing Na Baboy,4.5,4,,['Filipino']
Roaming Rooster,4.5,168,$$,"['Food Trucks', 'Chicken Shop', 'Sandwiches']"
Mari Vanna,4.0,536,$$$,"['Russian', 'Modern European', 'Venues & Event Spaces']"
Ghostburger,4.0,27,,"['Burgers', 'Sandwiches', 'American (Traditional)']"
Gogi Yogi,3.5,156,$$,"['Korean', 'Barbeque']"
Toki Underground,4.0,2250,$$,['Ramen']
Old Europe,4.5,298,$$,"['German', 'Diners', 'Salad']"
Espita,4.0,561,$$,"['Mexican', 'Latin American']"
Dubliner Restaurant & Pub,3.5,628,$$,"['Irish', 'Irish Pub', 'Venues & Event Spaces']"
Pho 12,4.0,117,$$,['Vietnamese']
Bun’d Up,4.5,65,$$,['Asian Fusion']
RPM Italian,4.0,1229,$$$,['Italian']
Rice Bar,4.0,143,$$,"['Korean', 'Delis', 'Noodles']"
Raku,4.0,242,$$,"['Sushi Bars', 'Asian Fusion']"
Hi/Fi Taco,4.0,3,,['Mexican']
Lavagna,4.0,691,$$,['Italian']
Tiger Fork,4.0,595,$$,"['Chinese', 'Hong Kong Style Cafe', 'Cocktail Bars']"
Jam Doung Style Cuisine,4.0,183,$,['Caribbean']
La Vie,4.0,487,$$$,"['Seafood', 'Cocktail Bars']"
Cava Mezze - DC,4.0,1400,$$$,"['Greek', 'Mediterranean']"
Due South,3.5,548,$$,"['Southern', 'Barbeque']"
Shawarma District,4.5,43,$,"['Mediterranean', 'Salad', 'Wraps']"
Moh Moh Licious,4.5,78,$,"['Himalayan/Nepalese', 'Asian Fusion']"
The Best Sandwich Place,4.5,56,$,"['Breakfast & Brunch', 'Sandwiches', 'Wraps']"
Pho Viet,4.0,710,$$,['Vietnamese']
The Capital Grille,4.5,883,$$$,"['Steakhouses', 'Seafood', 'Wine Bars']"
Hitching Post,4.0,269,$$,"['Southern', 'Soul Food', 'Tapas/Small Plates']"
Poke Papa,4.5,749,$$,"['Poke', 'Hawaiian']"
Little Miner Taco,4.0,323,$$,"['Tacos', 'Latin American']"
Haikan,4.0,462,$$,['Ramen']
Benitos Place,5.0,74,$$,"['Latin American', 'Honduran']"
Melange Burger,4.5,15,,['Burgers']
Pappe,4.0,300,$$,['Indian']
El Sol Restaurant & Tequileria,4.0,529,$$,"['Mexican', 'Breakfast & Brunch', 'Beer Bar']"
CHIKO,4.5,312,$$,"['Chinese', 'Korean']"
Bistro Cacao,4.0,663,$$$,"['French', 'Brasseries']"
Duke’s Grocery,4.0,1136,$$,"['Pubs', 'Breakfast & Brunch', 'Beer Bar']"
Anafre,4.5,48,,['Mexican']
Emmy Squared - Shaw,4.5,109,$$,"['Pizza', 'American (Traditional)']"
Brick Lane,4.0,519,$$,"['Breakfast & Brunch', 'American (New)']"
Henry’s Soul Cafe,4.0,181,$,"['Southern', 'Soul Food']"
Maizal South American Street Food,4.5,39,$,['Latin American']
Astoria DC,4.5,112,$$,"['Szechuan', 'Cocktail Bars']"
BKK Cookshop,4.0,219,$$,['Thai']
Hando Medo,4.0,312,$$,"['Sushi Bars', 'Japanese']"
Mikko,4.5,96,$$,"['Scandinavian', 'Cafes']"
Cafe Berlin,4.0,418,$$,['German']
Café Divan,3.5,349,$$,"['Turkish', 'Mediterranean', 'Halal']"
SUNdeVICH,4.0,567,$$,['Sandwiches']
Busboys and Poets - 14th and V,4.0,2332,$$,"['Sandwiches', 'Salad', 'Burgers']"
El Chalán,4.0,568,$$,['Peruvian']
Al Volo Trattoria & Bar,4.5,96,$$,"['Italian', 'Salad', 'Wine Bars']"
Mezcalero,4.0,284,$$,"['Mexican', 'Cocktail Bars', 'Diners']"
Masala Story,4.5,207,$$,['Indian']
Brasserie Beck,4.0,1380,$$$,"['Belgian', 'Modern European']"
Logan Tavern,4.0,872,$$,"['American (New)', 'Sports Bars', 'American (Traditional)']"
Uzu,4.5,87,$$,['Ramen']
Akira Ramen & Izakaya DC,4.5,49,$$,['Ramen']
City Kabob and Curry House - Washington,4.5,138,$$,"['Pakistani', 'Indian', 'Halal']"
Barrel,4.5,754,$$,"['American (New)', 'Cocktail Bars', 'Breakfast & Brunch']"
